,VoA Output,Difference from Mean,Difference from Median,Difference from Rank to Rank,"Difference from Q1, for teams in Q1","Difference from Q3, for teams in Q3",,
UNM,74.4782608695652,28.021228400223,27.3165760869565,0.1304347826087,,13.5217391304348,,
South Alabama,75.2391304347826,28.7820979654404,28.0774456521739,0.7608695652174,,14.2826086956522,,
Old Dominion,75.9130434782609,29.4560110089187,28.7513586956522,0.6739130434783,,14.9565217391305,,
UTSA,77.2391304347826,30.7820979654404,30.0774456521739,1.3260869565217,,16.2826086956522,,
New Mexico St,79.1304347826087,32.6734023132665,31.96875,1.8913043478261,,18.1739130434783,,
UConn,80.6304347826087,34.1734023132665,33.46875,1.5,,19.6739130434783,,
Bowling Green,81.4565217391304,34.9994892697882,34.2948369565217,0.8260869565217,,20.5,,
UTEP,82.2608695652174,35.8038370958752,35.0991847826087,0.804347826087,,21.304347826087,,
Akron,84.6304347826087,38.1734023132665,37.46875,2.3695652173913,,23.6739130434783,,
UMass,85.804347826087,39.3473153567448,38.6426630434783,1.1739130434783,,24.8478260869566,,
,,,,,,,,
,,Mean VoA Output,Median VoA Output,SD VoA Output,Q1 VoA Output,Q3 VoA Output,Max Rank-To-Rank difference,Min Rank-To-Rank difference
,,46.4570324693422,47.1616847826087,19.3691133350957,30.5525362318841,60.9565217391304,3.42934782608695,0
