team,conference,CFB_Week,VoA_Output,VoA_Ranking,VoA_Rating
UTEP,Conference USA,2,66.67170408481141,110,-12.400100325242516
Central Michigan,Mid-American,2,64.4135769408338,111,-12.408703211749406
Miami (OH),Mid-American,2,68.93514597455396,112,-12.70790884101453
Bowling Green,Mid-American,2,75.24561588874857,113,-13.583321882858327
Hawai'i,Mountain West,2,75.6937988373595,114,-13.604205512426534
Colorado,Pac-12,2,86.4697594452722,115,-13.729643415825384
Buffalo,Mid-American,2,75.74269281303259,116,-14.392406885769368
Akron,Mid-American,2,82.52306850694531,117,-14.404168410159118
Kent State,Mid-American,2,68.08023605943758,118,-14.432064682296474
Old Dominion,Sun Belt,2,70.65412979041399,119,-14.578968432791488
Connecticut,FBS Independents,2,81.11022961140958,120,-14.710754621970798
Temple,American Athletic,2,81.31985087813685,121,-14.833481620228715
Ball State,Mid-American,2,75.5264377317552,122,-15.270751357491715
Sam Houston State,Conference USA,2,71.31967098141875,123,-15.50660564100443
New Mexico,Mountain West,2,83.69022390558133,124,-15.76043699655219
Jacksonville State,Conference USA,2,75.64121100855579,125,-15.966653672885823
Louisiana Tech,Conference USA,2,78.17558582569235,126,-16.4822469702034
Northern Illinois,Mid-American,2,72.37351433881581,127,-16.83914383178457
Colorado State,Mountain West,2,75.15860569558852,128,-17.330899329456184
Western Michigan,Mid-American,2,67.21206920701293,129,-17.68174446204534
Arkansas State,Sun Belt,2,85.38055945702044,130,-17.84603680767339
Nevada,Mountain West,2,77.96129539879087,131,-18.686583614194046
Florida International,Conference USA,2,86.90291026019044,132,-19.797986968170978
UMass,FBS Independents,2,89.90233329988504,133,-21.449149523523577
